permno,year,month,logmmt,next_ret,mmt6,mmt12,mmt36,chmmt,idiovol,beta,max,min,capei,be,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,pretret_earnat,gprof,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_at,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,inv_turn,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,peg_trailing,divyield,peg_1yrforward,peg_ltgforward,DATE,COMNAM,TICKER,SICCD,SECTOR
10001,1986,11,0.055059778,0.015,0.1464983092,,,,0.0380905438,-0.819335036,0.0566037744,-0.053571429,,7.037,1.191,4.854,9.722,,9.722,9.722,0.323,,0.546,0.031,0.088,0.069,0.088,0.056,0.053,,,,0.447,,,,,,0.155,0.648,0.352,0.393,0.352,,,0.11,0.054,0.548,0.269,1.736,0.104,0.332,0.433,0.839,,,,0.829,0.419,0.556,0.438,1.254,3.015,4.446,0.33,0.988,1.044,,,,,,2.561,3.951,214.6,0.0,0.0,0.0,,0.986,,6.0,,,19860115,WESTERN ENERGY RESOURCES INC,WERC,1310.0,Mining
10001,1991,8,0.1273394167,0.013043,0.2136523886,0.2814391614,1.0752860821,0.1577988564,0.0231862917,1.048513997,0.0481927693,-0.041666668,15.72,10.417,1.04,5.316,10.648,,3.549,3.549,0.52,8.07,0.0,0.048,0.139,0.104,0.139,0.077,0.083,0.167,0.12,0.168,0.362,0.158,0.115,0.158,0.158,0.131,0.165,0.511,0.489,0.52,0.489,0.11,0.103,0.082,0.051,0.633,0.376,2.272,0.06,0.257,0.56,1.022,0.472,0.162,0.381,0.866,0.729,0.631,0.56,1.708,2.459,3.17,0.319,1.319,1.39,14.201,89.361,1.186,8.331,10.836,1.641,3.211,18.792,0.0,0.0,0.0,0.02,1.185,0.083,5.22,1.925,,19860205,CANYON STATE CORP,MINT,1380.0,Mining
10001,1991,9,0.0129591454,0.130435,0.2438345747,0.2472777819,1.1477412647,0.2410663551,0.0296436222,0.5159177956,0.0434782617,-0.041666668,15.72,10.417,1.04,5.316,10.648,,3.549,3.549,0.52,8.07,0.0,0.048,0.139,0.104,0.139,0.077,0.083,0.167,0.12,0.168,0.362,0.158,0.115,0.158,0.158,0.131,0.165,0.511,0.489,0.52,0.489,0.11,0.103,0.082,0.051,0.633,0.376,2.272,0.06,0.257,0.56,1.022,0.472,0.162,0.381,0.866,0.729,0.631,0.56,1.708,2.459,3.17,0.319,1.319,1.39,14.201,89.361,1.186,8.331,10.836,1.641,3.211,18.792,0.0,0.0,0.0,0.02,1.185,0.083,5.22,0.276,,19860625,AMERICAN PACIFIC MINT INC,MINT,1380.0,Mining
10001,1995,5,0.0487901649,0.060317,-0.036483564,0.046618319,0.4977350795,-0.122732101,0.0571078208,2.6266001729,0.1000000015,-0.090909094,15.669,13.133,0.738,7.53,8.214,,8.214,8.214,0.614,5.982,0.0,0.048,0.153,0.1,0.153,0.073,0.1,0.14,0.11,0.124,0.342,0.149,0.101,0.149,0.138,0.102,0.142,0.469,0.531,0.705,0.531,0.092,0.069,0.036,0.185,0.585,0.456,3.222,0.247,0.318,0.494,0.64,0.43,0.152,0.079,1.056,0.836,0.696,0.624,2.29,2.402,2.947,0.114,0.887,1.089,53.57,17.645,0.928,6.579,15.559,1.433,3.054,47.253,0.0,0.0,0.0,0.05,1.346,,4.83,0.497,1.825,19860207,CANYON RESOURCES CORP,CYNR,1040.0,Mining
10001,1995,6,0.0585683543,0.0,0.0569708348,0.0022090574,0.6004111588,0.1087809468,0.0359804545,0.4039996792,0.0645161271,-0.060606062,16.488,13.133,0.738,7.53,9.016,,9.016,9.016,0.646,6.295,0.0,0.048,0.153,0.1,0.153,0.073,0.1,0.14,0.11,0.124,0.342,0.149,0.101,0.149,0.138,0.102,0.142,0.469,0.531,0.705,0.531,0.092,0.069,0.036,0.185,0.585,0.456,3.222,0.247,0.318,0.494,0.64,0.43,0.152,0.079,1.056,0.836,0.696,0.624,2.29,2.402,2.947,0.114,0.887,1.089,53.57,17.645,0.928,6.579,15.559,1.433,3.054,47.253,0.0,0.0,0.0,0.05,1.416,,4.85,0.546,2.004,19960819,CANYON RESOURCES CORP,CAU,1499.0,Mining
10001,1995,7,0.0,-0.030303,0.0910666681,-0.065507769,0.5043864895,0.2345725065,0.0335863643,0.8651235016,0.0645161271,-0.060606062,16.497,14.104,0.846,7.297,9.167,,9.167,9.167,0.614,5.439,0.0,0.044,0.146,0.095,0.146,0.067,0.095,0.143,0.104,0.122,0.342,0.141,0.101,0.141,0.137,0.103,0.143,0.478,0.522,0.685,0.522,0.097,0.074,0.022,0.215,0.598,0.449,3.137,0.238,0.306,0.499,0.682,0.528,0.152,0.079,1.015,0.809,0.687,0.615,2.191,2.292,2.803,0.071,0.827,1.054,47.245,17.58,0.982,7.415,16.27,1.497,3.132,86.438,0.0,0.0,0.0,0.067,1.318,,4.85,0.555,2.037,20010201,CANYON RESOURCES CORP,CAU,1041.0,Mining
10001,1995,8,-0.03077166,0.04375,0.0864803392,-0.068654207,0.4026913654,0.2292666751,0.0349356677,1.8707740497,0.0645161271,-0.060606062,15.997,14.104,0.846,7.297,8.611,,8.611,8.611,0.596,5.274,0.0,0.044,0.146,0.095,0.146,0.067,0.095,0.143,0.104,0.122,0.342,0.141,0.101,0.141,0.137,0.103,0.143,0.478,0.522,0.685,0.522,0.097,0.074,0.022,0.215,0.598,0.449,3.137,0.238,0.306,0.499,0.682,0.528,0.152,0.079,1.015,0.809,0.687,0.615,2.191,2.292,2.803,0.071,0.827,1.054,47.245,17.58,0.982,7.415,16.27,1.497,3.132,86.438,0.0,0.0,0.0,0.067,1.279,,5.0,0.443,1.914,20020102,CANYON RESOURCES CORP,CAU,1041.0,Mining
10002,1988,5,-0.012903405,0.025974,-0.049382711,-0.287037038,,0.2006172927,0.002822863,0.0555910883,0.0,-0.012820513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,19810428,ALLIED CORP,ALD,1311.0,Mining
10002,1988,6,0.0256424306,-0.012658,-0.012499995,-0.268518519,,0.2467592683,0.0069503057,0.0862778312,0.0259740259,-0.012820513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,19850919,ALLIED SIGNAL INC,ALD,1311.0,Mining
10002,1992,12,0.0,0.055556,0.1999999991,0.5000000042,0.4693877428,-0.050000005,0.0412639593,0.737650499,0.0714285746,-0.078947365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,19620702,AMERICAN METAL CLIMAX INC,AMX,1011.0,Mining
10002,1993,1,0.0540672217,0.105263,0.2258064491,0.5510204122,0.5199999885,-0.039499679,0.0370167806,0.0502209202,0.055555556,-0.052631579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,19740628,AMAX INC,AMX,1011.0,Mining
10010,1994,4,0.0877056027,-0.022901,0.6862766733,0.1471119081,-0.282870047,1.0060135075,0.0384380156,1.7732647918,0.1304347813,-0.039999999,-70.172,7.891,0.159,9.489,-21.535,,-8.767,-8.767,1.217,10.964,,-0.138,0.188,0.082,0.66,-0.123,-0.027,0.137,-0.746,0.066,,-0.762,-0.043,-0.762,0.132,0.11,0.511,0.092,0.908,0.917,0.908,0.077,0.077,0.042,0.457,0.372,0.824,5.687,0.009,0.104,0.89,1.515,0.897,0.094,0.415,3.794,9.313,0.917,0.911,11.102,-0.683,1.006,0.401,1.692,3.117,252.844,1.658,0.732,6.201,11.587,0.86,9.354,3.816,0.069,0.017,0.0,0.182,10.732,-0.123,,-0.059,-0.428,19860707,GOLD EXPRESS CORP,GDEX,1040.0,Mining
10011,1995,9,0.0,-0.083333,0.0619469087,0.5000000183,4.5813952775,-0.350553101,0.0173797835,0.2408777532,0.0344827585,-0.033333335,90.446,14.812,0.172,11.446,25.0,,25.862,25.862,2.257,42.919,0.0,0.089,0.179,0.153,0.522,0.145,0.115,0.375,0.306,0.421,0.386,0.308,0.278,0.308,0.619,0.42,0.947,0.813,0.187,0.232,0.187,0.112,0.09,0.073,0.055,0.846,0.17,0.525,0.192,0.573,0.342,1.408,0.413,0.271,0.629,2.943,0.229,0.402,0.291,0.674,11.491,18.1,0.128,2.411,2.553,82.494,26.552,1.813,3.639,12.228,2.466,3.034,5.061,0.0,0.0,0.0,-0.071,5.931,0.066,,,,19860718,ATLANTIS MINING & MFG CO INC,AMMI,1040.0,Mining
