permno,year,month,logmmt,next_ret,mmt6,mmt12,mmt36,chmmt,idiovol,beta,max,min,capei,be,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,pretret_earnat,gprof,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_at,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,inv_turn,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,peg_trailing,divyield,peg_1yrforward,peg_ltgforward,DATE,COMNAM,TICKER,SICCD,SECTOR
10001,1989,4,0.0714589645,-0.034483,0.1330129676,0.2309098908,0.3942402485,0.0466089052,0.0311153454,-0.777980371,0.0740740746,-0.05172414,15.315,7.719,1.213,5.162,8.146,,2.685,2.685,0.404,14.617,0.0,0.05,0.122,0.096,0.122,0.082,0.076,0.169,0.124,0.193,0.334,0.168,0.127,0.168,0.197,0.145,0.148,0.584,0.416,0.529,0.416,0.091,0.072,0.112,0.039,0.633,0.335,2.27,0.214,0.364,0.418,0.644,0.146,0.101,0.618,0.902,0.519,0.63,0.548,1.702,3.508,4.817,0.309,0.967,1.046,10.244,112.475,1.21,7.966,9.478,1.91,3.269,152.923,0.0,0.0,0.0,-0.027,0.937,,6.62,0.295,,19860122,ARIZONA APPETITOS STORES INC,AAPI,5810.0,Retail Trade
10001,1989,5,-0.03509132,0.017143,0.0939435551,0.1653877378,0.3594913457,0.0286347168,0.0228093898,1.4449846105,0.0357142873,-0.033333335,14.787,7.719,1.213,5.162,7.865,,2.593,2.593,0.39,14.113,0.0,0.05,0.122,0.096,0.122,0.082,0.076,0.169,0.124,0.193,0.334,0.168,0.127,0.168,0.197,0.145,0.148,0.584,0.416,0.529,0.416,0.091,0.072,0.112,0.039,0.633,0.335,2.27,0.214,0.364,0.418,0.644,0.146,0.101,0.618,0.902,0.519,0.63,0.548,1.702,3.508,4.817,0.309,0.967,1.046,10.244,112.475,1.21,7.966,9.478,1.91,3.269,152.923,0.0,0.0,0.0,-0.027,0.905,0.019,6.86,0.285,,19830920,A & M FOOD SERVICES INC,AMFD,5812.0,Retail Trade
10001,1992,5,0.0104713003,-0.007708,-0.167531244,0.2776480923,1.017174539,-0.702301269,0.032644413,1.1830544982,0.0652173907,-0.06122449,14.97,10.507,0.674,6.655,12.368,,4.08,4.08,0.536,8.848,0.0,0.043,0.126,0.093,0.126,0.064,0.075,0.148,0.101,0.147,0.389,0.132,0.106,0.132,0.139,0.115,0.145,0.533,0.467,0.526,0.467,0.114,0.101,0.087,0.079,0.611,0.374,2.579,0.112,0.267,0.536,0.876,0.423,0.168,0.385,0.846,0.669,0.621,0.545,1.638,2.299,2.844,0.326,1.219,1.324,19.825,58.433,1.157,8.627,12.943,1.626,3.053,21.555,0.0,0.0,0.0,0.021,1.228,0.722,5.0,-0.374,,19980601,DALLAS GOLD & SILVER EXCHANGE IN,DLS,5944.0,Retail Trade
10001,1992,6,-0.007738196,0.06383,-0.168309613,0.1755418425,0.9678902253,-0.581746464,0.0226094785,0.1443072977,0.0425531901,-0.040816326,14.659,10.507,0.674,6.655,12.368,,4.08,4.08,0.525,8.663,0.0,0.043,0.126,0.093,0.126,0.064,0.075,0.148,0.101,0.147,0.389,0.132,0.106,0.132,0.139,0.115,0.145,0.533,0.467,0.526,0.467,0.114,0.101,0.087,0.079,0.611,0.374,2.579,0.112,0.267,0.536,0.876,0.423,0.168,0.385,0.846,0.669,0.621,0.545,1.638,2.299,2.844,0.326,1.219,1.324,19.825,58.433,1.157,8.627,12.943,1.626,3.053,21.555,0.0,0.0,0.0,0.021,1.202,0.722,5.36,-0.294,,19990630,DALLAS GOLD & SILVER EXCHANGE IN,DGSE,5944.0,Retail Trade
10001,1992,7,0.0618754036,0.04,-0.066962427,0.2968940756,1.0213105729,-0.456932255,0.0198631705,-0.014272809,0.0319148935,-0.030927835,15.033,11.0,0.871,7.164,14.881,,4.902,4.902,0.566,7.387,0.0,0.039,0.123,0.087,0.123,0.056,0.075,0.14,0.089,0.132,0.389,0.116,0.1,0.116,0.126,0.104,0.138,0.538,0.462,0.535,0.462,0.118,0.102,0.088,0.116,0.561,0.375,2.722,0.137,0.285,0.519,0.776,0.483,0.168,0.385,0.85,0.654,0.623,0.545,1.656,2.132,2.543,0.31,1.103,1.248,21.619,38.129,1.12,9.006,13.273,1.599,2.974,25.41,0.0,0.0,0.0,0.043,1.222,,5.04,-0.353,,20010705,D G S E COMPANIES INC,DGSE,5944.0,Retail Trade
10001,1993,5,-0.008230499,0.102479,0.0757709914,0.3196703985,0.8074011214,-0.150949574,0.0260940752,0.3922817952,0.0333333351,-0.048387095,16.662,10.451,0.691,7.92,18.91,,6.303,6.303,0.686,12.431,0.0,0.036,0.133,0.088,0.133,0.054,0.081,0.134,0.081,0.116,0.346,0.106,0.097,0.106,0.121,0.092,0.129,0.496,0.504,0.674,0.504,0.112,0.084,0.117,0.162,0.43,0.443,3.428,0.252,0.36,0.491,0.532,0.221,0.167,0.464,0.978,0.778,0.674,0.617,2.071,1.937,2.307,0.324,0.93,1.11,26.41,19.367,0.973,8.409,10.201,1.481,2.987,36.516,0.0,0.0,0.0,0.019,1.556,,4.17,0.106,,19860206,GOOD GUYS INC,GGUY,5730.0,Retail Trade
10001,1996,4,-0.073474536,-0.021277,0.1250508846,0.2293228162,0.3178673827,0.0323689153,0.031187426,-0.104172832,0.0571428575,-0.054054055,17.309,14.16,0.662,7.775,10.417,,10.417,10.417,0.681,72.672,0.0,0.043,0.149,0.094,0.149,0.069,0.098,0.136,0.094,0.112,0.364,0.125,0.096,0.125,0.128,0.094,0.131,0.505,0.495,0.762,0.495,0.099,0.065,0.015,0.284,0.537,0.463,3.54,0.35,0.387,0.434,0.488,0.031,0.171,-0.305,1.022,0.738,0.694,0.627,2.263,2.258,2.744,0.038,0.632,0.883,59.865,11.091,0.876,6.896,14.889,1.443,2.86,,0.0,0.0,0.0,-0.03,1.437,,4.54,-0.746,2.083,19860211,OLIVERS STORES INC,OLVR,5620.0,Retail Trade
10001,1996,5,-0.021506205,-0.06029,0.006732464,0.1458733443,0.3004873841,-0.13147792,0.020614695,0.3900880591,0.0434782617,-0.041666668,16.941,14.16,0.662,7.775,10.268,,10.268,10.268,0.667,71.125,0.0,0.043,0.149,0.094,0.149,0.069,0.098,0.136,0.094,0.112,0.364,0.125,0.096,0.125,0.128,0.094,0.131,0.505,0.495,0.762,0.495,0.099,0.065,0.015,0.284,0.537,0.463,3.54,0.35,0.387,0.434,0.488,0.031,0.171,-0.305,1.022,0.738,0.694,0.627,2.263,2.258,2.744,0.038,0.632,0.883,59.865,11.091,0.876,6.896,14.889,1.443,2.86,,0.0,0.0,0.0,-0.03,1.406,,4.64,-0.735,2.054,19870310,OLIVERS STORES INC,OLVR,5620.0,Retail Trade
10001,1996,6,-0.062183809,0.023438,-0.126351322,0.0155343522,0.1084844352,-0.288757192,0.030536272,1.3546474379,0.0588235296,-0.05882353,15.795,14.16,0.662,7.775,9.524,,9.524,9.524,0.622,66.314,0.0,0.043,0.149,0.094,0.149,0.069,0.098,0.136,0.094,0.112,0.364,0.125,0.096,0.125,0.128,0.094,0.131,0.505,0.495,0.762,0.495,0.099,0.065,0.015,0.284,0.537,0.463,3.54,0.35,0.387,0.434,0.488,0.031,0.171,-0.305,1.022,0.738,0.694,0.627,2.263,2.258,2.744,0.038,0.632,0.883,59.865,11.091,0.876,6.896,14.889,1.443,2.86,,0.0,0.0,0.0,-0.03,1.311,,5.25,-0.682,1.905,19870402,OLIVERS STORES INC,OLVR,5620.0,Retail Trade
10001,1997,1,0.0597192348,0.0,0.0798533211,-0.008023641,0.1323251597,0.1612319309,0.0392696615,-0.066716325,0.0615384616,-0.057971016,17.051,14.625,0.712,8.595,12.234,,10.849,10.849,0.635,14.438,0.0,0.034,0.141,0.088,0.141,0.054,0.088,0.123,0.077,0.098,0.358,0.101,0.1,0.101,0.124,0.083,0.12,0.526,0.474,0.864,0.474,0.133,0.073,0.015,0.288,0.465,0.484,4.029,0.451,0.455,0.376,0.374,0.117,0.024,-6.576,1.059,0.682,0.705,0.642,2.392,1.828,2.108,0.032,0.582,0.817,66.843,9.697,0.852,6.99,16.132,1.521,2.889,,0.0,0.0,0.0,0.008,1.39,,4.87,,,19891101,ARIS CORP,LMNT,5650.0,Retail Trade
