permno,year,month,logmmt,next_ret,mmt6,mmt12,mmt36,chmmt,idiovol,beta,max,min,capei,be,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,pretret_earnat,gprof,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_at,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,inv_turn,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,peg_trailing,divyield,peg_1yrforward,peg_ltgforward,DATE,COMNAM,TICKER,SICCD,SECTOR
10001,1992,3,0.078643131,0.010638,0.0454872601,0.3004132015,1.0483037768,-0.198347315,0.0355923516,-1.417722868,0.0681818202,-0.063829787,15.27,9.987,0.808,5.859,11.634,,3.956,3.956,0.522,8.04,0.0,0.044,0.13,0.098,0.13,0.071,0.076,0.156,0.108,0.158,0.389,0.142,0.109,0.142,0.149,0.124,0.154,0.527,0.473,0.511,0.473,0.111,0.103,0.077,0.057,0.664,0.367,2.389,0.073,0.263,0.548,0.941,0.47,0.168,0.385,0.85,0.687,0.621,0.548,1.641,2.388,3.077,0.292,1.284,1.362,17.616,80.581,1.183,8.008,11.288,1.645,3.125,20.002,0.0,0.0,0.0,0.025,1.265,0.183,5.11,4.037,,19920318,AMERICAN PACIFIC MINT INC,DLS,5094.0,Wholesale Trade
10001,1992,4,0.010582109,0.010526,-0.065307011,0.2643392575,0.9273291207,-0.417985668,0.0175749917,-0.049732667,0.0434782617,-0.021276595,14.814,10.507,0.674,6.655,12.105,,3.993,3.993,0.531,8.756,0.0,0.043,0.126,0.093,0.126,0.064,0.075,0.148,0.101,0.147,0.389,0.132,0.106,0.132,0.139,0.115,0.145,0.533,0.467,0.526,0.467,0.114,0.101,0.087,0.079,0.611,0.374,2.579,0.112,0.267,0.536,0.876,0.423,0.168,0.385,0.846,0.669,0.621,0.545,1.638,2.299,2.844,0.326,1.219,1.324,19.825,58.433,1.157,8.627,12.943,1.626,3.053,21.555,0.0,0.0,0.0,0.021,1.215,0.707,5.05,-0.805,,19920724,DALLAS GOLD & SILVER EXCHANGE IN,DLS,5094.0,Wholesale Trade
10001,1992,8,0.0392207123,0.165962,0.2129488488,0.1875038854,0.6476412669,0.2339266201,0.0271282405,-1.023464369,0.0638297871,-0.059999999,15.635,11.0,0.871,7.164,15.476,,5.098,5.098,0.589,7.683,0.0,0.039,0.123,0.087,0.123,0.056,0.075,0.14,0.089,0.132,0.389,0.116,0.1,0.116,0.126,0.104,0.138,0.538,0.462,0.535,0.462,0.118,0.102,0.088,0.116,0.561,0.375,2.722,0.137,0.285,0.519,0.776,0.483,0.168,0.385,0.85,0.654,0.623,0.545,1.656,2.132,2.543,0.31,1.103,1.248,21.619,38.129,1.12,9.006,13.273,1.599,2.974,25.41,0.0,0.0,0.0,0.043,1.27,,4.85,-0.368,,20071031,D G S E COMPANIES INC,DGC,5094.0,Wholesale Trade
10001,1992,9,0.1535460975,-0.025,0.3072914828,0.3667565906,0.9744498494,0.2618042227,0.0210059591,-0.245044325,0.0467289723,-0.034482758,18.04,11.0,0.871,7.164,17.857,,5.882,5.882,0.68,8.865,0.0,0.039,0.123,0.087,0.123,0.056,0.075,0.14,0.089,0.132,0.389,0.116,0.1,0.116,0.126,0.104,0.138,0.538,0.462,0.535,0.462,0.118,0.102,0.088,0.116,0.561,0.375,2.722,0.137,0.285,0.519,0.776,0.483,0.168,0.385,0.85,0.654,0.623,0.545,1.656,2.132,2.543,0.31,1.103,1.248,21.619,38.129,1.12,9.006,13.273,1.599,2.974,25.41,0.0,0.0,0.0,0.043,1.466,,4.2,0.122,,20090817,D G S E COMPANIES INC,DGSE,5094.0,Wholesale Trade
10001,1992,10,-0.025317808,-0.017094,0.2611922568,0.1788275603,0.7984380324,0.3264992677,0.025867054,0.1490009779,0.0526315793,-0.050000001,16.418,10.741,0.85,7.329,19.481,,19.481,19.481,0.685,6.651,0.783,0.036,0.127,0.084,0.127,0.056,0.081,0.139,0.079,0.12,0.346,0.103,0.095,0.103,0.116,0.096,0.13,0.548,0.452,0.582,0.452,0.119,0.103,0.078,0.291,0.373,0.389,2.984,0.224,0.34,0.477,0.605,0.492,0.167,0.464,0.824,0.627,0.633,0.547,1.727,2.023,2.358,0.229,0.624,0.881,21.495,27.067,1.096,13.266,19.634,1.54,2.809,,0.0,0.0,0.0,0.073,1.464,,4.31,0.441,,20191218,ENVELA CORP,ELA,5094.0,Wholesale Trade
10001,1993,2,0.0176995779,0.011053,0.1201246701,0.3586539291,0.6839557343,-0.092824179,0.018731938,0.2296208631,0.0363636352,-0.03508772,16.292,9.75,0.604,8.603,21.591,,7.197,7.197,0.657,-325.48,0.0,0.03,0.12,0.077,0.12,0.044,0.074,0.13,0.068,0.11,0.346,0.089,0.091,0.089,0.109,0.086,0.12,0.51,0.49,0.644,0.49,0.113,0.086,0.121,0.171,0.425,0.426,3.549,0.239,0.345,0.49,0.526,-0.007,0.167,0.464,0.95,0.733,0.662,0.6,1.959,1.821,2.081,0.35,0.95,1.146,25.642,19.591,0.999,8.971,11.386,1.508,2.956,29.957,0.0,0.0,0.0,-0.033,1.578,,4.42,0.163,,19860401,A A IMPORTING INC,ANTQ,5020.0,Wholesale Trade
10001,1993,3,0.0109919978,0.070175,-0.028694376,0.26977957,0.6812857779,-0.335985858,0.0210406878,-1.309624048,0.0363636352,-0.05172414,16.216,9.75,0.604,8.603,21.591,,7.197,7.197,0.654,-319.09,0.0,0.03,0.12,0.077,0.12,0.044,0.074,0.13,0.068,0.11,0.346,0.089,0.091,0.089,0.109,0.086,0.12,0.51,0.49,0.644,0.49,0.113,0.086,0.121,0.171,0.425,0.426,3.549,0.239,0.345,0.49,0.526,-0.007,0.167,0.464,0.95,0.733,0.662,0.6,1.959,1.821,2.081,0.35,0.95,1.146,25.642,19.591,0.999,8.971,11.386,1.508,2.956,29.957,0.0,0.0,0.0,-0.033,1.571,,4.42,0.163,,19890619,A A IMPORTING INC,ANTQ,5020.0,Wholesale Trade
10001,2001,2,-0.012739026,0.038462,0.2140692687,0.2515346889,0.284129521,0.1832098926,0.0237520754,0.0050321377,0.049342107,-0.037974682,18.056,13.635,0.63,7.72,14.13,14.13,13.265,13.265,0.321,-13.444,0.221,0.016,0.077,0.052,0.077,0.025,0.041,0.114,0.082,0.107,0.384,0.089,0.098,0.089,0.119,0.082,0.11,0.453,0.547,0.816,0.547,0.112,0.075,0.003,0.184,0.49,0.465,4.22,0.329,0.417,0.421,0.356,-0.11,0.017,-6.722,1.244,1.124,0.742,0.682,2.873,1.646,2.126,0.007,0.894,1.095,35.161,21.213,1.432,8.626,15.331,2.512,5.547,48.782,0.0,0.0,0.0,-0.057,1.791,,5.13,0.402,2.653,19721214,A B K C O INDUSTRIES INC,ABKC,5099.0,Wholesale Trade
10001,2001,3,0.0377403294,-0.025,0.1719780256,0.320478175,0.345183649,0.0452690378,0.017041707,0.335124526,0.032894738,-0.025641026,18.556,13.635,0.63,7.72,14.493,14.493,13.605,13.605,0.33,-13.816,0.221,0.016,0.077,0.052,0.077,0.025,0.041,0.114,0.082,0.107,0.384,0.089,0.098,0.089,0.119,0.082,0.11,0.453,0.547,0.816,0.547,0.112,0.075,0.003,0.184,0.49,0.465,4.22,0.329,0.417,0.421,0.356,-0.11,0.017,-6.722,1.244,1.124,0.742,0.682,2.873,1.646,2.126,0.007,0.894,1.095,35.161,21.213,1.432,8.626,15.331,2.512,5.547,48.782,0.0,0.0,0.0,-0.057,1.84,,5.0,0.412,2.721,19741127,A B K C O INDUSTRIES INC,,5099.0,Wholesale Trade
10001,2001,4,-0.025317808,0.097436,0.1109375028,0.272553484,0.3022522554,-0.034539611,0.023900071,-0.052707742,0.0408162884,-0.04411763,17.614,14.33,0.594,6.93,8.228,8.228,7.927,7.927,0.286,8.892,0.262,0.024,0.078,0.055,0.078,0.037,0.047,0.126,0.137,0.122,0.384,0.147,0.128,0.147,0.142,0.095,0.119,0.46,0.54,0.82,0.54,0.12,0.079,0.003,0.155,0.524,0.447,3.741,0.342,0.457,0.393,0.349,0.144,0.017,-6.722,1.312,1.093,0.749,0.69,2.988,2.02,2.38,0.006,0.909,1.075,32.318,24.671,1.526,7.916,12.693,2.8,6.086,59.263,0.0,0.0,0.0,0.013,1.707,0.382,5.13,0.24,1.585,19750124,A B K C O INDUSTRIES INC,ABKC,5099.0,Wholesale Trade
10001,2001,5,0.0929764376,0.114953,0.1474660446,0.4296655128,0.4497014866,-0.098466695,0.0257868713,-0.026530416,0.0714285746,-0.045454547,19.331,14.33,0.594,6.93,9.03,9.03,8.699,8.699,0.314,9.759,0.262,0.024,0.078,0.055,0.078,0.037,0.047,0.126,0.137,0.122,0.384,0.147,0.128,0.147,0.142,0.095,0.119,0.46,0.54,0.82,0.54,0.12,0.079,0.003,0.155,0.524,0.447,3.741,0.342,0.457,0.393,0.349,0.144,0.017,-6.722,1.312,1.093,0.749,0.69,2.988,2.02,2.38,0.006,0.909,1.075,32.318,24.671,1.526,7.916,12.693,2.8,6.086,59.263,0.0,0.0,0.0,0.013,1.873,0.42,4.67,0.263,1.74,19821101,A B K C O INDUSTRIES INC,ABKC,5099.0,Wholesale Trade
10001,2002,3,-0.016015435,-0.043269,-0.108823904,0.0884008989,0.3919485699,-0.330132357,0.0253280352,-0.883854854,0.0343137644,-0.072727293,16.203,18.789,0.624,6.996,5.826,5.826,5.826,5.826,0.222,8.335,0.37,0.024,0.063,0.047,0.063,0.039,0.04,0.121,0.171,0.139,0.373,0.194,0.146,0.194,0.165,0.095,0.115,0.489,0.511,0.832,0.511,0.121,0.074,0.004,0.185,0.466,0.393,3.429,0.385,0.564,0.314,0.264,0.111,0.132,0.455,1.561,0.875,0.769,0.696,3.324,2.499,2.906,0.007,0.871,1.069,32.792,19.822,1.81,8.388,13.265,3.827,7.827,60.876,0.0,0.0,0.0,0.004,1.423,0.143,5.0,,,19860220,TYCO TOYS INC,TTOY,5040.0,Wholesale Trade
10001,2005,12,0.0208340677,-0.016495,0.0760680438,0.4113646314,0.3481526967,-0.235526181,0.0178075005,0.3672392624,0.0357894897,-0.03173257,28.989,23.768,0.902,7.479,18.302,18.302,18.302,18.302,0.371,21.147,0.0,0.018,0.087,0.057,0.087,0.028,0.057,0.113,0.066,0.104,0.353,0.09,0.102,0.09,0.111,0.082,0.115,0.479,0.521,0.658,0.521,0.133,0.101,0.002,0.269,0.376,0.407,3.532,0.208,0.282,0.458,0.58,0.117,0.033,-1.08,1.088,0.786,0.704,0.604,2.374,1.516,1.631,0.008,0.978,1.338,38.712,14.46,1.298,12.253,21.925,2.139,4.463,19.679,0.0,0.0,0.0,-0.001,1.196,0.386,1.65,,,19860305,MOORE HANDLEY INC,MHCO,5090.0,Wholesale Trade
